ISIN,Issuer,Exp_Return,Yield,Modified,Is_HY,weight
DK0030486592,EURONEXT NV,105.8661519012825,-0.5165057697343206,31.779945357277782,False,0.11348962608037988
FR0013512449,VEOLIA ENVIRONNEMENT SA,104.06360471363212,-0.6997907059003576,31.21348848123634,False,0.11348962608037988
XS2342732646,VOLKSWAGEN INTL FIN NV,33.94049629509955,-0.7112822488443069,18.935844227828422,True,0.05850640092719586
XS2286442186,HOLCIM FINANCE LUX SA,33.206645334521006,-0.6135549152302735,18.23932862783803,True,0.057241393540529706
XS2345798271,BANK OF AMERICA CORP,32.830459648074545,-0.698904039040575,18.73146617067144,False,0.05659292716564388
FR0013332996,UNIBAIL-RODAMCO-WESTFLD,32.44486117345282,-0.7411181337534352,19.43949546124523,True,0.05592823508934119
BE6321529396,ELIA TRANSMISSION BE,32.418000590917714,-0.7926152386931775,20.859493681789953,False,0.05588193299648806
XS2010331101,JOHN DEERE CASH MANAGEME,32.41331698513293,-0.38334941074746975,22.121533324563345,False,0.05587385942810393
XS2058557344,THERMO FISHER SCIENTIFIC,32.19308118444253,-0.3741680308043954,37.446780156109554,False,0.05549421842516507
FR0014005OK3,LEGRAND SA,32.154547478072296,-0.8604765631594999,41.30994947741897,False,0.05542779427937456
FR0013447166,STELLANTIS NV,32.14009816085112,-0.8404344703181709,23.266965153102174,True,0.05540288664281214
XS1707075328,NESTLE FINANCE INTL LTD,31.786049851897317,-0.8318656797946536,22.811661599270188,False,0.05479258053145933
XS2051149552,DH EUROPE FINANCE II,31.771574313069195,-0.3747360299868798,37.4247939104466,False,0.054767627694265915
XS2550898204,VERIZON COMMUNICATIONS,31.59945306559534,-0.647902278154082,24.989042680527263,True,0.054470926236949616
XS2304664597,INTESA SANPAOLO SPA,10.032334887312985,-0.7157359847245393,18.980448577816002,True,0.01729367190301736
XS2412267788,ASTM SPA,9.963910375494693,-0.6826713313272204,24.85920908148369,True,0.017175722186346106
XS2463990775,EQT AB,9.934946767155939,-0.8389023384724853,38.87179483160572,False,0.017125794911652423
CH0595205532,UBS GROUP AG,9.881834729346934,-0.5953617767113109,18.284225037338544,False,0.01703424073545251
FR0014006KD4,BANQUE FED CRED MUTUEL,9.876326840878098,-0.6670295017552026,18.406347099528404,True,0.017024746274080522
XS2051362312,AT&T INC,9.853727030230546,-0.2729851952644182,18.300371484521865,True,0.0169857888713623
